dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
dblp.xml.50MB,2,52.4288,10.2074776206201,58.6432878575527,300.869592,117.394372,19.788246
dblp.xml.50MB,3,52.4288,13.7099834132338,53.5955756826104,300.869592,111.347348,19.695716
dblp.xml.50MB,4,52.4288,16.3180749770925,60.4394438936666,300.869592,108.890644,17.726506
dblp.xml.50MB,5,52.4288,16.8194449167414,60.4200807156077,300.869592,108.4321,17.191052
dblp.xml.50MB,6,52.4288,17.0022882107852,54.5011517958868,300.869592,108.2325,16.914526
dblp.xml.50MB,7,52.4288,17.0530774955374,60.4868594106925,300.869592,108.219404,16.824504
dblp.xml.50MB,8,52.4288,16.7513679691689,51.9779948506602,300.869592,108.266492,16.794666
dblp.xml.50MB,9,52.4288,17.0589368359129,53.8764604934593,300.869592,108.333124,16.784372
dblp.xml.50MB,10,52.4288,16.6101261042518,60.740182931421,300.869592,108.406612,16.780934
dblp.xml.50MB,11,52.4288,17.1931471131544,60.4650948226947,300.869592,108.482452,16.779848
dblp.xml.50MB,12,52.4288,17.1705113706888,54.5495217573609,300.869592,108.559116,16.779586
dblp.xml.50MB,13,52.4288,16.6019893077322,53.6009454756618,300.869592,108.636012,16.779556
dna,0,403.927746,3.779400796814,29.0815830324399,2918.80999,2202.724474,191.991214
dna.001.1,0,104.8576,4.07595886056034,26.6207186844606,756.979992,570.222844,4.271262
dna.001.1,1,104.8576,8.36451418418275,50.4815742369578,597.413272,225.226676,4.768624
dna.001.1,2,104.8576,13.5207071674798,69.4729909781101,549.841192,177.519652,4.381638
dna.001.1,3,104.8576,17.1731913239825,77.8339025398661,534.924984,162.657876,4.273612
dna.001.1,4,104.8576,18.5948458149467,78.842790524212,532.036816,158.197188,4.284158
dna.001.1,5,104.8576,18.3697241237348,71.2748262780788,532.036816,157.031076,4.20342
dna.001.1,6,104.8576,19.0627202575399,69.7272621481888,532.036816,156.778692,4.024138
dna.001.1,7,104.8576,18.6199538876569,68.6733416115224,532.036816,156.745996,3.916984
dna.001.1,8,104.8576,19.1671827508224,80.4550888279499,532.036816,156.785388,3.87945
dna.001.1,9,104.8576,19.8947787627578,72.849143381178,532.036816,156.85154,3.868676
dna.001.1,10,104.8576,19.3889368107002,76.0893006677377,532.036816,156.923884,3.864094
dna.001.1,11,104.8576,19.6203856843126,79.8570065350816,532.036816,156.998956,3.86224
dna.001.1,12,104.8576,19.9313203366847,70.4147757567781,532.036816,157.075516,3.861874
dna.001.1,13,104.8576,18.2965944801858,79.7359816282147,532.036816,157.152372,3.861804
dna.001.1,14,104.8576,19.228234427726,78.3072228603178,532.036816,157.229324,3.86183
dna.001.1,15,104.8576,19.3703154851169,73.0668138349318,532.036816,157.306324,3.8619
dna.100MB,0,104.8576,4.58136081851559,22.8017528569167,758.352584,573.216076,55.740986
dna.100MB,1,104.8576,5.81824896771713,40.0548541742269,862.9452,291.645088,73.869336
dna.100MB,2,104.8576,10.3668224823423,41.3864093488221,679.847384,224.848292,64.274786
dna.100MB,3,104.8576,13.3311160914297,43.7931974902908,679.847384,217.450636,57.042628
dna.100MB,4,104.8576,14.028791656705,43.6193853211543,679.847384,214.84982,54.372786
dna.100MB,5,104.8576,14.449915001797,42.0732145257427,679.847384,214.012956,53.45906
dna.100MB,6,104.8576,14.5278151126264,43.6618498457685,679.847384,213.771916,53.141094
dna.100MB,7,104.8576,14.5423419142881,43.1540283433717,679.847384,213.738716,53.030968
dna.100MB,8,104.8576,14.399942212146,45.2476183613048,679.847384,213.778268,52.993594
dna.100MB,9,104.8576,14.542061580647,43.7975692335709,679.847384,213.842476,52.980876
dna.100MB,10,104.8576,14.517772148001,43.4719664487905,679.847384,213.915124,52.976598
dna.100MB,11,104.8576,14.3818252141687,45.567318715186,679.847384,213.990452,52.975
dna.100MB,12,104.8576,14.5353972609728,43.5430557078172,679.847384,214.0669,52.974522
dna.100MB,13,104.8576,14.2625290330584,45.3917803759821,679.847384,214.143716,52.974412
dna.100MB,14,104.8576,14.4852427003674,45.4493678292944,679.847384,214.220652,52.974418
dna.200MB,0,209.7152,4.52867784154802,38.2055792134448,1517.05948,1146.995936,105.275706
dna.50MB,0,52.4288,4.76970434252265,25.0945074174801,379.14531,286.568482,29.503146
